,Power
0,792
1,733
2,706
3,684
4,784
5,722
6,962
7,662
8,513
9,525
10,3249
11,1862
12,1289
13,1386
14,1961
15,1993
16,541
17,510
18,793
19,829
20,949
21,659
22,748
23,1032
24,755
25,620
26,800
27,801
28,710
29,886
30,752
31,527
32,647
33,1086
34,644
35,894
36,633
37,755
38,775
39,627
40,699
41,521
42,770
43,762
44,662
45,1037
46,1144
47,814
48,580
49,580
50,1045
51,872
52,873
53,745
54,853
55,635
56,493
57,1287
58,1028
59,1993
60,844
61,1318
62,1630
63,1804
64,1391
65,821
66,945
67,1358
68,790
69,695
70,773
71,944
72,1078
73,924
74,938
75,908
76,1068
77,810
78,879
79,692
80,834
81,1136
82,808
83,5245
84,5252
85,1207
86,948
87,1137
88,861
89,1947
90,628
91,902
92,711
93,747
94,975
95,881
96,773
97,629
98,897
99,941
100,871
101,791
102,827
103,748
104,586
105,1972
106,1586
107,2322
108,1550
109,1360
110,1277
111,1495
112,1077
113,817
114,869
115,1029
116,889
117,903
118,792
119,757
120,902
121,772
122,1020
123,946
124,913
125,852
126,902
127,767
128,786
129,1626
130,1167
131,1232
132,1040
133,998
134,956
135,1496
136,4337
137,788
138,722
139,731
140,940
141,797
142,935
143,687
144,1585
145,918
146,712
147,992
148,807
149,838
150,868
151,912
152,542
153,655
154,1692
155,942
156,863
157,837
158,905
159,1901
160,738
161,785
162,774
163,554
164,639
165,658
166,687
167,550
168,548
169,706
170,668
171,987
172,814
173,655
174,593
175,453
176,445
177,723
178,981
179,681
180,666
181,616
182,458
183,459
184,494
185,688
186,680
187,701
188,647
189,692
190,660
191,715
192,699
193,673
194,637
195,554
196,549
197,664
198,654
199,898
200,674
201,640
202,448
203,454
204,603
205,601
206,758
207,693
208,554
209,665
210,494
211,638
212,568
213,643
214,685
215,673
216,668
217,709
218,774
219,548
220,583
221,754
222,814
223,629
224,545
225,1302
226,1187
227,952
228,697
229,772
230,981
231,1065
232,782
233,850
234,838
235,735
236,788
237,899
238,655
239,784
240,918
241,706
242,797
243,775
244,1205
245,831
246,751
247,678
248,760
249,766
250,653
251,755
252,716
253,608
254,568
255,608
256,687
257,831
258,1048
259,808
260,844
261,728
262,762
263,944
264,698
265,896
266,772
267,1008
268,948
269,755
270,775
271,657
272,692
273,1611
274,1202
275,1222
276,671
277,1386
278,1226
279,1203
280,819
281,836
282,559
283,921
284,626
285,672
286,677
287,769
288,754
289,938
290,944
291,701
292,588
293,736
294,574
295,818
296,634
297,1662
298,1185
299,868
300,1875
301,1421
302,2640
303,1202
304,941
305,618
306,746
307,1081
308,810
309,623
310,647
311,1090
312,873
313,857
314,1131
315,760
316,798
317,685
318,1108
319,713
320,586
321,669
322,1001
323,757
324,1090
325,1119
326,1039
327,629
328,761
329,752
330,743
331,1084
332,685
333,940
334,834
335,822
336,969
337,776
338,942
339,785
340,698
341,836
342,564
343,585
344,506
345,469
346,1072
347,584
348,684
349,607
350,889
351,586
352,607
353,681
354,734
355,999
356,765
357,666
358,773
359,575
360,886
361,583
362,589
363,805
364,922
365,1185
366,923
367,914
368,819
369,650
370,517
371,1219
372,729
373,636
374,637
375,1083
376,831
377,607
378,663
379,764
380,824
381,891
382,1119
383,828
384,594
385,595
386,858
387,852
388,697
389,811
390,720
391,1016
392,777
393,1500
394,720
395,920
396,661
397,4914
398,1692
399,1749
400,725
401,1397
402,837
403,916
404,678
405,714
406,780
407,936
408,1060
409,767
410,608
411,791
412,579
413,711
414,596
415,1039
416,783
417,1557
418,2188
419,2075
420,1663
421,1430
422,1125
423,1162
424,937
425,760
426,637
427,743
428,560
429,833
430,785
431,794
432,1034
433,849
434,1057
435,924
436,708
437,713
438,653
439,476
440,788
441,1506
442,2555
443,1140
444,924
445,1000
446,1094
